102,Mumbai,Pune,11:30AM,4:00PM,30,480.00,Luxury Coach,AC Seater
103,Chennai,Bangalore,8:00AM,12:00PM,50,320.00,Swift Travels,Non-AC Sleeper
104,Lucknow,Kanpur,9:15AM,11:00AM,25,200.00,City Rider,Non-AC Seater
105,Manali,Shimla,6:00AM,11:00AM,30,600.00,Mountain King,AC Deluxe
106,Delhi,Chandigarh,7:00AM,11:30AM,40,450.00,Delhi Travels,AC Seater
107,Mumbai,Goa,8:30PM,6:00AM,20,800.00,Goa Express,AC Sleeper
108,Bangalore,Hyderabad,9:00AM,2:00PM,45,350.00,Hyderabad Line,AC Seater
109,Kolkata,Puri,6:30AM,12:30PM,30,400.00,Puri Express,Non-AC Sleeper
110,Jaipur,Udaipur,1:00PM,7:00PM,25,300.00,Udaipur Travels,AC Seater
111,Delhi,Haridwar,5:00AM,10:00AM,35,350.00,Haridwar Express,Non-AC Seater
112,Mumbai,Nashik,10:00AM,1:00PM,40,250.00,Nashik Line,Non-AC Seater
113,Chennai,Pondicherry,7:30AM,11:30AM,30,280.00,Pondicherry Express,Non-AC Seater
114,Agra,Mathura,8:00AM,9:30AM,50,120.00,Mathura Travels,Non-AC Seater
115,Delhi,Amritsar,8:00PM,6:00AM,25,600.00,Amritsar Express,AC Sleeper
116,Bangalore,Mysore,6:00AM,9:30AM,45,200.00,Mysore Line,Non-AC Seater
117,Kolkata,Darjeeling,7:00PM,7:00AM,20,550.00,Darjeeling Express,AC Sleeper
118,Hyderabad,Vijayawada,10:30AM,3:30PM,35,320.00,Vijayawada Travels,AC Seater
119,Ahmedabad,Vadodara,9:00AM,11:00AM,40,150.00,Vadodara Express,Non-AC Seater
120,Delhi,Dehradun,6:30AM,12:00PM,30,400.00,Dehradun Line,AC Seater
121,Mumbai,Aurangabad,11:00AM,4:00PM,25,300.00,Aurangabad Travels,AC Seater
122,Chennai,Coimbatore,8:30PM,5:00AM,35,450.00,Coimbatore Express,AC Sleeper
123,Jaipur,Jodhpur,2:00PM,8:00PM,30,350.00,Jodhpur Line,AC Seater
124,Kolkata,Bhubaneswar,9:00PM,6:00AM,25,500.00,Bhubaneswar Express,AC Sleeper
125,Bangalore,Chennai,10:00PM,5:00AM,40,400.00,Chennai Travels,AC Sleeper
126,Delhi,Agra,6:00AM,10:00AM,50,250.00,Agra Express,AC Seater
127,Hyderabad,Bangalore,8:00PM,5:00AM,35,450.00,Bangalore Line,AC Sleeper
128,Mumbai,Surat,1:00PM,6:00PM,45,280.00,Surat Travels,AC Seater
129,Goa,Pune,7:00PM,4:00AM,20,350.00,Pune Express,AC Sleeper
130,Delhi,Jaipur,3:00PM,7:00PM,30,550.00,Jaipur Line,AC Sleeper
131,Chennai,Madurai,9:00AM,3:00PM,30,380.00,Madurai Express,AC Seater
132,Kolkata,Varanasi,7:00PM,10:00AM,25,650.00,Varanasi Travels,AC Sleeper
133,Bangalore,Hyderabad,6:30AM,12:30PM,45,350.00,Hyderabad Express,AC Seater
134,Jaipur,Delhi,8:00AM,12:00PM,50,550.00,Delhi Line,AC Sleeper
135,Mumbai,Goa,10:00PM,8:00AM,20,800.00,Goa Travels,AC Sleeper
136,Hyderabad,Nagpur,8:00PM,6:00AM,30,500.00,Nagpur Express,AC Sleeper
137,Delhi,Manali,6:00PM,8:00AM,25,700.00,Manali Line,AC Sleeper
138,Chennai,Bangalore,11:00PM,6:00AM,40,320.00,Bangalore Express,AC Sleeper
139,Kolkata,Puri,5:30AM,11:30AM,35,400.00,Puri Travels,AC Seater
140,Bangalore,Mumbai,7:00PM,10:00AM,20,900.00,Mumbai Express,AC Sleeper
141,Delhi,Chandigarh,2:00PM,6:30PM,45,450.00,Chandigarh Line,AC Seater
142,Jaipur,Udaipur,6:00AM,12:00PM,30,300.00,Udaipur Express,AC Seater
143,Hyderabad,Vijayawada,7:00AM,12:00PM,40,320.00,Vijayawada Line,AC Seater
144,Mumbai,Pune,3:00PM,7:00PM,49,480.00,Pune Travels,AC Seater
145,Chennai,Pondicherry,1:00PM,5:00PM,35,280.00,Pondicherry Line,Non-AC Seater
146,Delhi,Haridwar,12:00PM,5:00PM,40,350.00,Haridwar Travels,AC Seater
147,Bangalore,Mysore,2:00PM,5:30PM,45,200.00,Mysore Express,Non-AC Seater
148,Kolkata,Darjeeling,8:00AM,8:00PM,25,550.00,Darjeeling Line,AC Sleeper
149,Jaipur,Jaisalmer,9:00PM,8:00AM,20,600.00,Jaisalmer Express,AC Sleeper
150,Delhi,Rishikesh,7:30AM,12:30PM,30,380.00,Rishikesh Travels,AC Seater
151,surat,Mumbai,5:00,12:00,35,55555.00,Omkar,Sleeper
